124, Northrop Grumman, noc,0.96%, Falls Church, VA, Aerospace and Defense,
125, Alcoa, aa,0.17%, New York, NY, Metals,
126, Capital One Financial, cof,0.66%, McLean, VA, Commercial Banks,
127, National Oilwell Varco, nov,0.79%, Houston, TX, Oil and Gas Equipment,
128, US Foods, ,, Rosemont, IL, Wholesalers: Food and Grocery,
129, Raytheon, rtn,-0.46%, Waltham, MA, Aerospace and Defense,
130, Time Warner Cable, twc,-0.61%, New York, NY, Telecommunications,
131, Arrow Electronics, arw,0.58%, Centennial, CO, Wholesalers: Electronics and Office Equipment,
132, Aflac, afl,0.64%, Columbus, GA, Insurance: Life,
133, Staples, spls,-0.12%, Framingham, MA, Specialty Retailers: Other,
134, Abbott Laboratories, abt,0.85%, Abbott Park, IL, Medical Products and Equipment,
135, Community Health Systems, cyh,0.29%, Franklin, TN, Health Care: Medical Facilities,
136, Fluor, flr,0.93%, Irving, TX, Engineering,
137, Freeport - McMoRan, fcx,1.07%, Phoenix, AZ, Mining,
138, U.S.Bancorp, usb,0.43%, Minneapolis, MN, Commercial Banks,
139, Nucor, nue,1.24%, Charlotte, NC, Metals,
140, Kimberly - Clark, kmb,1.13%, Irving, TX, Household and Personal Products,
141, Hess, hes,3.07%, New York, NY, Petroleum Refining,
142, Chesapeake Energy, chk,2.62%, Oklahoma City, OK, Mining,
143, Xerox, xrx,-0.09%, Norwalk, CT, Information Technology Services,
144, ManpowerGroup, man,1.50%, Milwaukee, WI, Temporary Help,
145, Amgen, amgn,0.08%, Thousand Oaks, CA, Pharmaceuticals,
146, AbbVie, abbv,-0.21%, North Chicago, IL, Pharmaceuticals,
147, Danaher, dhr,0.20%, Washington, DC, Scientific,
148, Whirlpool, whr,-0.07%, Benton Harbor, MI, Electronics,
149, PBF Energy, pbf,-0.46%, Parsippany, NJ, Petroleum Refining,
150, HollyFrontier, hfc,0.86%, Dallas, TX, Petroleum Refining,
151, Eli Lilly, lly,0.83%, Indianapolis, IN, Pharmaceuticals,
152, Devon Energy, dvn,1.35%, Oklahoma City, OK, Mining,
153, Progressive, pgr,0.43%, Mayfield Village, OH, Insurance: Property and Casualty(Stock),
154, Cummins, cmi,-0.32%, Columbus, IN, Construction and Farm Machinery,
155, Icahn Enterprises, iep,-1.99%, New York, NY, Petroleum Refining,
156, AutoNation, an,1.17%, Fort Lauderdale, FL, Automotive Retailing,
157, Kohl 's##, kss,-0.83%, , Menomonee Falls, WI,
158, Paccar, pcar,-0.39%, Bellevue, WA, Motor Vehicles and Parts,
159, Dollar General, dg,0.61%, Goodlettsville, TN, General Merchandisers,
160, Hartford Financial Services Group, hig,0.67%, Hartford, CT, Insurance: Property and Casualty(Stock),
161, Southwest Airlines, luv,-0.82%, Dallas, TX, Airlines,
162, Anadarko Petroleum, apc,1.14%, The Woodlands, TX, Mining,
163, Southern, so,0.93%, Atlanta, GA, Utilities: Gas and Electric,
164, Supervalu, svu,0.96%, Eden Prairie, MN, Food and Drug Stores,
165, Kraft Foods Group, krft,0.52%, Northfield, IL, Food Consumer Products,
166, Goodyear Tire & Rubber, gt,0.06%, Akron, OH, Motor Vehicles and Parts,
167, EOG Resources, eog,0.96%, Houston, TX, Mining,
168, CenturyLink, ctl,-0.46%, Monroe, LA, Telecommunications,
169, Altria Group, mo,1.01%, Richmond, VA, Tobacco,
170, Tenet Healthcare, thc,-1.63%, Dallas, TX, Health Care: Medical Facilities,
171, General Mills, gis,1.27%, Minneapolis, MN, Food Consumer Products,
172, eBay, ebay,0.87%, San Jose, CA, Internet Services and Retailing,
173, ConAgra Foods, cag,1.52%, Omaha, NE, Food Consumer Products,
174, Lear, lea,1.08%, Southfield, MI, Motor Vehicles and Parts,
175, TRW Automotive Holdings, ,, Livonia, MI, Motor Vehicles and Parts,
176, United States Steel, x,0.39%, Pittsburgh, PA, Metals,
177, Penske Automotive Group, pag,1.14%, Bloomfield Hills, MI, Automotive Retailing,
178, AES, aes,1.04%, Arlington, VA, Utilities: Gas and Electric,
179, Colgate - Palmolive, cl,0.98%, New York, NY, Household and Personal Products,
180, Global Partners, glp,-3.36%, Waltham, MA, Wholesalers: Diversified,
181, Thermo Fisher Scientific, tmo,-0.57%, Waltham, MA, Scientific,
182, PG & E Corp., pcg,0.60%, San Francisco, CA, Utilities: Gas and Electric,
183, NextEra Energy, nee,0.41%, Juno Beach, FL, Utilities: Gas and Electric,
184, American Electric Power, aep,0.15%, Columbus, OH, Utilities: Gas and Electric,
185, Baxter International, bax,-0.13%, Deerfield, IL, Medical Products and Equipment,
186, Centene, cnc,1.88%, St.Louis, MO, Health Care: Insurance and Managed Care,
187, Starbucks, sbux,1.33%, Seattle, WA, Food Services,
188, Gap, gps,1.44%, San Francisco, CA, Specialty Retailers: Apparel,
189, Bank of New York Mellon Corp., bk,-0.21%, New York, NY, Commercial Banks,
190, Micron Technology, mu,0.00%, Boise, ID, Semiconductors and Other Electronic Components,
191, Jabil Circuit, jbl,2.12%, St.Petersburg, FL, Semiconductors and Other Electronic Components,
192, PNC Financial Services Group, pnc,0.73%, Pittsburgh, PA, Commercial Banks,
193, Kinder Morgan, kmi,0.33%, Houston, TX, Pipelines,
194, Office Depot, odp,0.00%, Boca Raton, FL, Specialty Retailers: Other,
195, Bristol - Myers Squibb, bmy,0.58%, New York, NY, Pharmaceuticals,
196, NRG Energy, nrg,1.13%, Princeton, NJ, Energy,
197, Monsanto, mon,0.32%, St.Louis, MO, Chemicals,
198, PPG Industries, ppg,0.49%, Pittsburgh, PA, Chemicals,
199, Genuine Parts, gpc,0.35%, Atlanta, GA, Wholesalers: Diversified,
200, Omnicom Group, omc,0.85%, New York, NY, Advertising,
201, Illinois Tool Works, itw,0.03%, Glenview, IL, Industrial Machinery,
202, Murphy USA, musa,1.20%, El Dorado, AR, Specialty Retailers: Other,
203, Land O 'Lakes, , , Arden Hills, MN, Food Consumer Products,
204, Western Refining, wnr,1.40%, El Paso, TX, Petroleum Refining,
205, Western Digital, wdc,-0.76%, Irvine, CA, Computer Peripherals,
206, FirstEnergy, fe,0.21%, Akron, OH, Utilities: Gas and Electric,
207, Aramark, armk,-0.19%, Philadelphia, PA, Diversified Outsourcing Services,
208, DISH Network, dish,0.43%, Englewood, CO, Telecommunications,
209, Las Vegas Sands, lvs,0.46%, Las Vegas, NV, Hotels,
210, Kellogg, k,1.26%, Battle Creek, MI, Food Consumer Products,
211, Loews, l,0.08%, New York, NY, Insurance: Property and Casualty(Stock),
212, CBS, cbs,-0.77%, New York, NY, Entertainment,
213, Ecolab, ecl,0.50%, St.Paul, MN, Chemicals,
214, Whole Foods Market, wfm,1.66%, Austin, TX, Food and Drug Stores,
215, Chubb, cb,0.85%, Warren, NJ, Insurance: Property and Casualty(Stock),
216, Health Net, hnt,1.11%, Woodland Hills, CA, Health Care: Insurance and Managed Care,
217, Waste Management, wm,0.19%, Houston, TX, Waste Management,
218, Apache, apa,1.86%, Houston, TX, Mining,
219, Textron, txt,0.88%, Providence, RI, Aerospace and Defense,
220, Synnex, snx,1.78%, Fremont, CA, Wholesalers: Electronics and Office Equipment,
221, Marriott International, mar,-0.38%, Bethesda, MD, Hotels,
222, Viacom, viab,1.17%, New York, NY, Entertainment,
223, Lincoln National, lnc,0.30%, Radnor, PA, Insurance: Life,
224, Nordstrom, jwn,0.29%, Seattle, WA, General Merchandisers,
225, C.H.Robinson Worldwide, chrw,0.28%, Eden Prairie, MN, Transportation and Logistics,
226, Edison International, eix,0.38%, Rosemead, CA, Utilities: Gas and Electric,
227, Marathon Oil, mro,1.06%, Houston, TX, Mining,
228, Yum Brands, yum,1.03%, Louisville, KY, Food Services,
229, Computer Sciences, csc,1.12%, Falls Church, VA, Information Technology Services,
230, Parker - Hannifin, ph,-0.12%, Cleveland, OH, Industrial Machinery,
231, DaVita HealthCare Partners, dva,0.28%, Denver, CO, Health Care: Medical Facilities,
232, CarMax, kmx,0.91%, Richmond, VA, Automotive Retailing,
233, Texas Instruments, txn,0.08%, Dallas, TX, Semiconductors and Other Electronic Components,
234, WellCare Health Plans, wcg,3.17%, Tampa, FL, Health Care: Insurance and Managed Care,
235, Marsh & McLennan, mmc,0.36%, New York, NY, Diversified Financials,
236, Consolidated Edison, ed,0.58%, New York, NY, Utilities: Gas and Electric,
237, Oneok, oke,-0.18%, Tulsa, OK, Pipelines,
238, Visa, v,0.64%, Foster City, CA, Financial Data Services,
239, Jacobs Engineering Group, jec,0.90%, Pasadena, CA, Engineering,
240, CSX, csx,-0.26%, Jacksonville, FL, Railroads,
241, Entergy, etr,-0.17%, New Orleans, LA, Utilities: Gas and Electric,
242, Facebook, fb,0.43%, Menlo Park, CA, Internet Services and Retailing,
243, Dominion Resources, d,0.40%, Richmond, VA, Utilities: Gas and Electric,
244, Leucadia National, luk,-0.04%, New York, NY, Food Production,
245," Toys ""R""Us", ,, Wayne, NJ, Specialty Retailers: Other,
246, DTE Energy, dte,0.43%, Detroit, MI, Utilities: Gas and Electric,
247, Ameriprise Financial, amp,0.45%, Minneapolis, MN, Diversified Financials,
248, VF, vfc,0.80%, Greensboro, NC, Apparel,
249, Praxair, px,0.43%, Danbury, CT, Chemicals,
250, J.C.Penney, jcp,-2.98%, Plano, TX, General Merchandisers,
251, Automatic Data Processing, adp,0.43%, Roseland, NJ, Diversified Outsourcing Services,
252, L - 3 Communications, lll,0.21%, New York, NY, Aerospace and Defense,
253, CDW, cdw,-0.44%, Vernon Hills, IL, Information Technology Services,
254, Guardian Life Ins.Co.of America, ,, New York, NY, Insurance: Life,
255, Xcel Energy, xel,0.62%, Minneapolis, MN, Utilities: Gas and Electric,
256, Norfolk Southern, nsc,0.00%, Norfolk, VA, Railroads,
257, PPL, ppl,0.37%, Allentown, PA, Utilities: Gas and Electric,
258, R.R.Donnelley & Sons, rrd,-0.77%, Chicago, IL, Publishing,
259, Huntsman, hun,1.22%, Salt Lake City, UT, Chemicals,
260, Bed Bath & Beyond, bbby,0.55%, Union, NJ, Specialty Retailers: Other,
261, Stanley Black & Decker, swk,0.09%, New Britain, CT, Home Equipment,
262, L Brands, lb,0.31%, Columbus, OH, Specialty Retailers: Apparel,
263, Liberty Interactive, qvca,0.75%, Englewood, CO, Internet Services and Retailing,
264, Farmers Insurance Exchange, ,, Woodland Hills, CA, Insurance: Property and Casualty(Mutual),
265, First Data, ,, Atlanta, GA, Financial Data Services,
266, Sherwin - Williams, shw,0.09%, Cleveland, OH, Chemicals,
267, BlackRock, blk,0.56%, New York, NY, Securities,
268, Voya Financial, voya,0.40%, New York, NY, Insurance: Life,
269, Ross Stores, rost,0.99%, Dublin, CA, Specialty Retailers: Apparel,
270, Sempra Energy, sre,0.20%, San Diego, CA, Utilities: Gas and Electric,
271, Estee Lauder, el,1.60%, New York, NY, Household and Personal Products,
272, H.J.Heinz, ,, Pittsburgh, PA, Food Consumer Products,
273, Reinsurance Group of America, rga,1.12%, Chesterfield, MO, Insurance: Life,
274, Public Service Enterprise Group, peg,0.45%, Newark, NJ, Utilities: Gas and Electric,
275, Cameron International, cam,0.76%, Houston, TX, Oil and Gas Equipment,
276, Navistar International, nav,-2.12%, Lisle, IL, Motor Vehicles and Parts,
277, CST Brands, cst,-0.42%, San Antonio, TX, Specialty Retailers: Other,
278, State Street Corp. stt,,0.03%, Boston, MA, Commercial Banks,
279, Unum Group, unm,0.57%, Chattanooga, TN, Insurance: Life,
280, Hilton Worldwide Holdings, hlt,-1.37%, McLean, VA, Hotels,0
281, Family Dollar Stores, fdo,0.13%, Matthews, NC, General Merchandisers,
282, Principal Financial, pfg,0.42%, Des Moines, IA, Insurance: Life,
283, Reliance Steel & Aluminum, rs,0.68%, Los Angeles, CA, Metals,
284, Air Products & Chemicals, apd,1.10%, Allentown, PA, Chemicals,
285, Assurant, aiz,1.67%, New York, NY, Insurance: Property and Casualty(Stock),
286, Peter Kiewit Sons ', , , Omaha, NE, Engineering,
287, Henry Schein, hsic,0.82%, Melville, NY, Wholesalers: Health Care,
288, Cognizant Technology Solutions, ctsh,-0.41%, Teaneck, NJ, Information Technology Services,
289, MGM Resorts International, mgm,-0.73%, Las Vegas, NV, Hotels,0
290, W.W.Grainger, gww,0.40%, Lake Forest, IL, Wholesalers: Diversified,
291, Group 1 Automotive, gpi,0.19%, Houston, TX, Automotive Retailing,
292, BB & T Corp., bbt,0.51%, Winston - Salem, NC, Commercial Banks,
293, Rock - Tenn, rkt,-0.14%, Norcross, GA, Packaging,
294, Advance Auto Parts, aap,0.46%, Roanoke, VA, Specialty Retailers: Other,
295, Ally Financial, ally,0.74%, Detroit, MI, Commercial Banks,
296, AGCO, agco,0.41%, Duluth, GA, Construction and Farm Machinery,
297, Corning, glw,2.55%, Corning, NY, Network and Other Communications Equipment,
298, Biogen, biib,0.00%, Cambridge, MA, Pharmaceuticals,
299, NGL Energy Partners, ngl,0.35%, Tulsa, OK, Wholesalers: Diversified,
300, Stryker, syk,0.52%, Kalamazoo, MI, Medical Products and Equipment,
301, Molina Healthcare, moh,0.85%, Long Beach, CA, Health Care: Insurance and Managed Care,
302, Precision Castparts, pcp,-0.48%, Portland, OR, Aerospace and Defense,
303, Discover Financial Services, dfs,-0.27%, Riverwoods, IL, Commercial Banks,
304, Genworth Financial, gnw,1.02%, Richmond, VA, Insurance: Life,
305, Eastman Chemical, emn,0.86%, Kingsport, TN, Chemicals,
306, Dean Foods, df,1.19%, Dallas, TX, Food Consumer Products,
307, AutoZone, azo,0.26%, Memphis, TN, Specialty Retailers: Other,
308, MasterCard, ma,0.91%, Purchase, NY, Financial Data Services,
309, Owens & Minor, omi,1.04%, Mechanicsville, VA, Wholesalers: Health Care,
310, Hormel Foods, hrl,0.59%, Austin, MN, Food Consumer Products,
311, GameStop, gme,-0.02%, Grapevine, TX, Specialty Retailers: Other,
312, Autoliv, alv,0.73%, Auburn Hills, MI, Motor Vehicles and Parts,
313, CenterPoint Energy, cnp,-0.26%, Houston, TX, Utilities: Gas and Electric,
314, Fidelity National Financial, fnf,0.80%, Jacksonville, FL, Insurance: Property and Casualty(Stock),
315, Sonic Automotive, sah,-0.70%, Charlotte, NC, Automotive Retailing,
316, HD Supply Holdings, hds,0.00%, Atlanta, GA, Wholesalers: Diversified,
317, Charter Communications, chtr,-0.71%, Stamford, CT, Telecommunications,
318, Crown Holdings, cck,-0.49%, Philadelphia, PA, Packaging,
319, Applied Materials, amat,0.56%, Santa Clara, CA, Semiconductors and Other Electronic Components,
320, Mosaic, mos,0.34%, Plymouth, MN, Chemicals,
321, CBRE Group, cbg,-0.11%, Los Angeles, CA, Real estate,
322, Avon Products, avp,0.15%, New York, NY, Household and Personal Products,
323, Republic Services, rsg,0.47%, Phoenix, AZ, Waste Management,
324, Universal Health Services, uhs,-0.87%, King of Prussia, PA, Health Care: Medical Facilities,
325, Darden Restaurants, dri,-0.28%, Orlando, FL, Food Services,
326, Steel Dynamics, stld,0.59%, Fort Wayne, IN, Metals,
327, SunTrust Banks, sti,0.87%, Atlanta, GA, Commercial Banks,
328, Caesars Entertainment, czr,-3.93%, Las Vegas, NV, Hotels,0
329, Targa Resources, trgp,-0.99%, Houston, TX, Pipelines,
330, Dollar Tree, dltr,0.82%, Chesapeake, VA, Specialty Retailers: Other,
331, News Corp. nwsa,,0.00%, New York, NY, Publishing, Printing
332, Ball, bll,-0.35%, Broomfield, CO, Packaging,
333, Thrivent Financial for Lutherans, ,, Minneapolis, MN, Insurance: Life, Health(Mutual)
334, Masco, mas,-0.18%, Taylor, MI, Home Equipment,
335, Franklin Resources, ben,1.19%, San Mateo, CA, Securities,
336, Avis Budget Group, car,-0.82%, Parsippany, NJ, Automotive Retailing,
337, Reynolds American, rai,1.36%, Winston - Salem, NC, Tobacco,
338, Becton Dickinson, bdx,0.48%, Franklin Lakes, NJ, Medical Products and Equipment,
339, Priceline Group, pcln,0.07%, Norwalk, CT, Internet Services and Retailing,
340, Broadcom, brcm,-0.83%, Irvine, CA, Semiconductors and Other Electronic Components,
341, Tenneco, ten,0.27%, Lake Forest, IL, Motor Vehicles and Parts,
342, Campbell Soup, cpb,2.63%, Camden, NJ, Food Consumer Products,
343, AECOM, acm,0.82%, Los Angeles, CA, Engineering,
344, Visteon, vc,0.50%, Van Buren Township, MI, Motor Vehicles and Parts,
345, Delek US Holdings, dk,0.56%, Brentwood, TN, Petroleum Refining,
346, Dover, dov,0.03%, Downers Grove, IL, Industrial Machinery,
347, BorgWarner, bwa,0.23%, Auburn Hills, MI, Motor Vehicles and Parts,
348, Jarden, jah,0.48%, Boca Raton, FL, Home Equipment,
349, UGI, ugi,0.00%, King of Prussia, PA, Energy,
350, Murphy Oil, mur,1.32%, El Dorado, AR, Mining,
351, PVH, pvh,1.58%, New York, NY, Apparel,
352, Core - Mark Holding, core,0.64%, South San Francisco, CA, Wholesalers: Food and Grocery,
353, Calpine, cpn,-0.63%, Houston, TX, Energy,
354, D.R.Horton, dhi,-0.53%, Fort Worth, TX, Homebuilders,
355, Weyerhaeuser, wy,2.87%, Federal Way, WA, Forest and Paper Products,
356, KKR, kkr,-0.26%, New York, NY, Securities,
357, FMC Technologies, fti,0.43%, Houston, TX, Oil and Gas Equipment,
358, American Family Insurance Group, ,, Madison, WI, Insurance: Property and Casualty(Stock),
359, SpartanNash, sptn,1.41%, Grand Rapids, MI, Wholesalers: Food and Grocery,
360, WESCO International, wcc,-0.30%, Pittsburgh, PA, Wholesalers: Diversified,
361, Quanta Services, pwr,1.63%, Houston, TX, Engineering,
362, Mohawk Industries, mhk,1.07%, Calhoun, GA, zMiscellaneous,
363, Motorola Solutions, msi,0.40%, Schaumburg, IL, Network and Other Communications Equipment,
364, Lennar, len,-0.52%, Miami, FL, Homebuilders,
365, TravelCenters of America, ta,-1.80%, Westlake, OH, Specialty Retailers: Other,
366, Sealed Air, see,2.28%, Charlotte, NC, Packaging,
367, Eversource Energy, es,1.43%, Springfield, MA, Utilities: Gas and Electric,
368, Coca - Cola Enterprises, cce,1.37%, Atlanta, GA, Beverages,
369, Celgene, celg,0.10%, Summit, NJ, Pharmaceuticals,
370, Williams, wmb,0.80%, Tulsa, OK, Energy,
371, Ashland, ash,0.34%, Covington, KY, Chemicals,
372, Interpublic Group, ipg,1.06%, New York, NY, Advertising,
373, Blackstone Group, bx,-0.62%, New York, NY, Diversified Financials,
374, Ralph Lauren, rl,0.24%, New York, NY, Apparel,
375, Quest Diagnostics, dgx,-0.14%, Madison, NJ, Health Care: Pharmacy and Other Services,
376, Hershey, hsy,1.36%, Hershey, PA, Food Consumer Products,
377, Terex, tex,-3.03%, Westport, CT, Construction and Farm Machinery,
378, Boston Scientific, bsx,1.21%, Marlborough, MA, Medical Products and Equipment,
379, Newmont Mining, nem,-0.37%, Greenwood Village, CO, Mining,
380, Allergan, ,, Irvine, CA, Pharmaceuticals,
381, O 'Reilly Automotive##, orly,1.14%, Springfield, MO,,
382, Casey 's General Stores, casy,-0.45%, Ankeny, IA,,
